专业, 专业大类, 有该专业的学校数量, 物理, 化学, 生物, 历史, 地理, 政治, 技术, 没有学科要求的学校数量
服装表演(时装表演与营销),服装表演(时装表演与营销),1,0,0,0,0,0,0,0,1
戏剧与影视学类,人文科学试验班,1,0,0,0,0,0,0,0,1
工商管理(CAPM美国助理项目管理师),工商管理(CAPM美国助理项目管理师),1,0,0,0,0,0,0,0,1
罗马尼亚语,罗马尼亚语,1,0,0,0,0,0,0,0,1
计算机科学与技术(（中软国际特色班）),计算机科学与技术(（中软国际特色班）),1,1,0,0,0,0,0,0,0
工程管理(工程概预算及项目管理),工程管理(工程概预算及项目管理),1,1,0,0,0,0,0,0,0
英语(英俄双语),外国语言文学类,1,0,0,0,0,0,0,0,1
化学工程与工艺(含精细化工、能源化工方向),化学工程与工艺(含精细化工、能源化工方向),1,1,1,1,0,0,0,0,0
电子信息工程(电信卓越计划实验班),电子信息工程(电信卓越计划实验班),1,1,0,0,0,0,0,0,0
视觉传达设计(中英校际交流2+2项目),视觉传达设计(中英校际交流2+2项目),1,0,0,0,0,0,0,0,1
道路养护与管理,道路养护与管理,3,0,0,0,0,0,0,0,3
过程装备与控制工程(含安全工程专业),过程装备与控制工程(含安全工程专业),1,1,0,0,0,0,0,0,0
土耳其语,土耳其语,1,0,0,0,0,0,0,0,1
国际经济与贸易,公共管理类,487,20,10,6,12,13,8,5,457
摄影(图片摄影、影视摄影、无人机航拍),摄影(图片摄影、影视摄影、无人机航拍),1,0,0,0,0,0,0,0,1
生物医学工程(医疗电子),生物医学工程(医疗电子),1,1,0,0,0,0,0,0,0
神经科学,自然科学试验班,1,1,1,1,0,0,0,0,0
美术学,美术学,82,1,0,0,6,2,3,0,76
小学教育(数学与科学方向),小学教育(数学与科学方向),1,0,0,0,0,0,0,0,1
高尔夫球运动与管理(球艺助理方向),高尔夫球运动与管理(球艺助理方向),1,0,0,0,0,0,0,0,1
表演,表演,44,0,0,0,0,0,0,0,44
应用日语(商务与旅游),应用日语(商务与旅游),1,0,0,0,0,0,0,0,1
物理学(绿色能源技术方向),物理学(绿色能源技术方向),1,1,0,0,0,0,0,0,0
金融学(国际金融与公司理财),金融学(国际金融与公司理财),1,1,0,0,0,0,0,0,0
广告设计与制作(新媒体传播与策划),广告设计与制作(新媒体传播与策划),1,0,0,0,0,0,0,0,1
保险,保险,13,0,0,0,0,0,0,1,12
国际商务(跨境电子商务),国际商务(跨境电子商务),3,0,0,0,0,0,0,0,3
数字媒体艺术(中英合作办学),数字媒体艺术(中英合作办学),1,0,0,0,0,0,0,0,1
车辆工程(城市轨道交通车辆),车辆工程(城市轨道交通车辆),1,1,0,0,0,0,0,0,0
音乐表演(器乐方向),音乐表演(器乐方向),1,0,0,0,0,0,0,0,1
公共事业管理(健康管理方向),公共事业管理(健康管理方向),1,0,0,0,0,0,0,0,1
营养配餐,营养配餐,1,0,0,0,0,0,0,0,1
手语翻译,手语翻译,1,0,0,0,0,0,0,0,1
土木工程(建筑工程方向,土木类,1,1,0,0,0,0,0,0,0
智能监控技术应用,智能监控技术应用,4,1,1,0,0,0,0,1,3
市政工程技术(道路桥梁方向),市政工程技术(道路桥梁方向),1,1,0,0,1,0,0,1,0
土木工程(卓越计划),土木工程(卓越计划),1,1,0,0,0,0,0,0,0
临床医学(本博连读八年制),临床医学(本博连读八年制),1,1,1,0,0,0,0,0,0
视觉传播设计与制作(广告设计与策划、视觉传达设计),视觉传播设计与制作(广告设计与策划、视觉传达设计),1,0,0,0,0,0,0,0,1
商务英语(高级商务助理),商务英语(高级商务助理),1,0,0,1,1,0,0,1,0
新闻采编与制作(新媒体技术与应用),新闻采编与制作(新媒体技术与应用),1,0,0,0,1,0,1,1,0
口腔医学(八年制),口腔医学(八年制),1,1,1,0,0,0,0,0,0
历史学(师范),历史学(师范),11,0,0,0,11,10,0,1,0
旅游管理(休闲旅游),旅游管理(休闲旅游),1,0,0,0,0,0,0,0,1
电子商务(创业运营管理),电子商务(创业运营管理),1,0,0,0,0,0,0,0,1
中国少数民族语言文化(维吾尔语),中国少数民族语言文化(维吾尔语),1,0,0,0,0,0,0,0,1
绘画(壁画与综合材料绘画),绘画(壁画与综合材料绘画),1,0,0,0,0,0,0,0,1
德语,德语,68,0,0,1,2,1,2,0,66
环境艺术设计,环境艺术设计,92,1,1,1,4,3,1,4,87
中国画(中国画二),中国画(中国画二),1,0,0,0,0,0,0,0,1
智能终端技术与应用,智能终端技术与应用,1,0,0,0,0,0,0,0,1
知识产权,知识产权,30,0,0,0,4,0,5,0,25
社区管理与服务(高级家政管理),社区管理与服务(高级家政管理),1,0,0,0,0,0,0,0,1
机电一体化技术(中美合作),机电一体化技术(中美合作),1,1,1,0,0,0,0,1,0
美术学(艺术管理与策划),美术学(艺术管理与策划),1,0,0,0,0,0,0,0,1
家用纺织品设计,家用纺织品设计,1,0,0,0,0,0,0,0,1
预防医学,预防医学,61,43,58,53,0,0,0,0,2
计算机信息管理(金融信息技术方向),计算机信息管理(金融信息技术方向),1,0,0,0,0,0,0,0,1
数学与应用数学(数据分析方向),数学类(中外合作办学),1,1,0,0,0,0,0,0,0
地质学(资源勘查工程方向),地质学类,1,1,1,0,0,0,0,0,0
财政学,财政学,48,7,2,1,3,0,1,0,41
环境设计(景观与环艺类),环境设计(景观与环艺类),1,0,0,0,0,0,0,0,1
海洋科学,海洋科学类,20,19,17,12,0,0,0,0,0
目标工程,目标工程,5,4,1,0,0,1,0,0,0
出版商务,出版商务,2,0,0,0,0,0,0,0,2
海警舰艇指挥与技术,海警舰艇指挥与技术,1,1,0,0,0,0,0,0,0
交通运输(城市轨道交通运营),交通运输(城市轨道交通运营),1,1,1,0,0,0,0,0,0
城市轨道交通工程技术,城市轨道交通工程技术,13,2,1,0,0,0,0,0,11
音乐表演(古典吉他),音乐表演(古典吉他),1,0,0,0,0,0,0,0,1
国际经济与贸易(中美合作办学),经济与贸易类(中外合作办学),1,0,0,0,0,0,0,0,1
电气工程及其自动化(输配电工程),电气工程及其自动化(输配电工程),1,1,0,0,0,0,0,0,0
会计学(财务会计),会计学(财务会计),2,0,0,0,0,0,0,0,2
软件工程(含软件、数媒技术),软件工程(含软件、数媒技术),2,2,0,0,0,0,0,0,0
管理科学(国际物流信息管理方向),管理科学与工程类(中外合作办学),1,1,0,0,0,0,0,0,0
数学与应用数学(师范),数学与应用数学(师范),16,16,1,0,0,0,0,0,0
移动通信技术(深圳中兴通讯合作办学),移动通信技术(深圳中兴通讯合作办学),1,0,0,0,0,0,0,0,1
电子信息工程(理工类实验班),电子信息工程(理工类实验班),1,1,0,0,0,0,0,0,0
新闻学,新闻学,138,2,0,0,12,6,15,0,121
经济信息管理(生产质量管理),经济信息管理(生产质量管理),1,0,0,0,0,0,0,0,1
影视摄影与制作(电视摄像),影视摄影与制作(电视摄像),1,0,0,0,0,0,0,0,1
应用法语(奢侈品管理),应用法语(奢侈品管理),1,0,0,0,0,0,0,0,1
产品设计(珠宝首饰方向),产品设计(珠宝首饰方向),1,0,0,0,0,0,0,0,1
电子商务(物联网技术),电子商务(物联网技术),1,0,0,0,0,0,0,0,1
科学教育,科学教育,11,8,8,7,0,0,0,0,3
船舶电气工程技术,船舶电气工程技术,3,1,1,0,0,0,0,1,2
水利水电工程技术,水利水电工程技术,1,0,0,0,0,0,0,0,1
医疗设备应用技术(医学影像设备方向),医疗设备应用技术(医学影像设备方向),1,0,0,0,0,0,0,0,1
影视动画(中法合作),广播影视类(中外合作办学),1,0,0,0,0,0,0,0,1
针灸推拿学,针灸推拿学,35,30,35,35,0,0,0,0,0
采购管理,采购管理,3,0,0,0,0,0,0,0,3
高分子材料与工程(工科精英试验班),高分子材料与工程(工科精英试验班),1,1,1,0,0,0,0,0,0
复合材料工程技术(航空复合材料加工与应用技术),复合材料工程技术(航空复合材料加工与应用技术),1,0,0,0,0,0,0,0,1
体育教育,体育教育,60,1,0,2,0,0,1,0,58
玉器设计与工艺,玉器设计与工艺,1,0,0,0,0,0,0,0,1
艺术与科技(会展艺术设计),艺术与科技(会展艺术设计),1,0,0,0,0,0,0,0,1
表演(时尚表演),表演(时尚表演),1,0,0,0,0,0,0,0,1
社会体育(健身健美服务与管理),社会体育(健身健美服务与管理),1,0,0,0,0,0,0,0,1
会计学(注册会计),会计学(注册会计),1,0,0,0,0,0,0,0,1
汉语国际教育(国际商贸),中国语言文学类(02),1,0,0,0,0,0,0,0,1
交通运输类,工科试验班,1,1,0,0,0,0,0,0,0
舞蹈表演(国际标准舞),舞蹈表演(国际标准舞),1,0,0,0,0,0,0,0,1
电子信息工程(嵌入式培养),电子信息工程(嵌入式培养),2,2,0,0,0,0,0,1,0
工学院,工学院,1,1,1,1,0,0,0,0,0
法学(法学-会计双学位班),法学(法学-会计双学位班),1,0,0,0,0,0,0,0,1
建筑材料工程技术,建筑材料工程技术,2,0,0,0,0,0,0,0,2
林产化工(制浆造纸方向),林业工程类,1,1,1,1,0,0,0,0,0
陶瓷设计与工艺(陶瓷绘画),陶瓷设计与工艺(陶瓷绘画),1,0,0,0,0,0,0,0,1
地质工程(综合找矿方向),地质工程(综合找矿方向),1,1,1,0,0,0,0,0,0
现代殡葬技术与管理,现代殡葬技术与管理,3,0,0,0,0,0,0,0,3
化学工程与工艺(工科英才试验班),化学工程与工艺(工科英才试验班),1,1,1,0,0,0,0,0,0
机械设计制造及其自动化(机械卓越计划实验班),机械设计制造及其自动化(机械卓越计划实验班),1,1,0,0,0,0,0,0,0
数字媒体艺术设计(三维数字设计),艺术设计类,1,0,0,0,0,0,0,0,1
机场运行(地面服务),机场运行(地面服务),1,0,0,0,0,0,0,0,1
中医学(五年制),中医学(五年制),1,1,1,1,0,0,0,0,0
环境工程(电力环保),环境工程(电力环保),1,0,1,1,0,0,0,0,0
税务(企业会计与税务方向),税务(企业会计与税务方向),1,0,0,0,0,0,0,0,1
葡萄牙语,葡萄牙语,20,0,0,0,1,0,0,0,19
音乐表演(竖琴),音乐表演(竖琴),1,0,0,0,0,0,0,0,1
药品生产技术,药品生产技术,33,5,8,8,0,0,0,2,25
会计(涉外会计),会计(涉外会计),1,0,0,0,0,0,0,0,1
软件工程,软件工程,299,299,3,0,0,0,0,4,0
国际经济与贸易(与英语专业复合班),国际经济与贸易(与英语专业复合班),1,0,0,0,0,0,0,0,1
审计(审计助理),审计(审计助理),1,0,0,0,0,0,0,0,1
智能交通技术运用,智能交通技术运用,6,0,0,0,0,0,0,0,6
人文地理与城乡规划(中法合作),地理科学类(中外合作办学),1,1,0,0,0,1,0,0,0
数字媒体应用技术(虚拟现实VR设计),数字媒体应用技术(虚拟现实VR设计),1,0,0,0,0,0,0,0,1
英语(师范),英语(师范),12,0,0,0,0,0,0,0,12
禁毒学,禁毒学,2,0,0,0,0,0,2,0,0
音乐表演(电子手风琴),音乐表演(电子手风琴),1,0,0,0,0,0,0,0,1
社会体育指导与管理,社会体育指导与管理,48,1,0,2,0,0,1,0,46
会计(邮政财务会计方向),财务会计类,1,0,0,0,0,0,0,0,1
草业科学(草坪科学与管理方向),草业科学(草坪科学与管理方向),1,1,1,1,0,0,0,0,0
法学(国际金融法),法学类,1,0,0,0,0,0,0,0,1
国际商务,国际商务,103,0,0,1,4,4,3,1,98
人力资源管理(酒店人力资源管理方向),人力资源管理(酒店人力资源管理方向),1,0,0,0,0,0,0,0,1
旅游管理(出境旅游计调),旅游管理(出境旅游计调),1,0,0,0,0,0,0,0,1
通信工程(讯方技术特色班),通信工程(讯方技术特色班),1,1,0,0,0,0,0,0,0
小学教育,小学教育,61,1,1,2,3,1,1,1,57
土木工程,土木工程,316,316,15,0,0,0,0,2,0
法学(民商法律),法学类,1,0,0,0,0,0,0,0,1
智能控制技术,智能控制技术,18,5,3,1,0,0,1,5,13
化工装备技术,化工技术类,5,0,0,0,0,0,0,0,5
临床医学(英语班五年制),临床医学(英语班五年制),1,1,1,0,0,0,0,0,0
中医学(5+3一体化),中医学(5+3一体化),2,1,1,2,0,0,0,0,0
投资与理财(公司金融与投资管理),投资与理财(公司金融与投资管理),1,0,0,0,0,0,0,0,1
金融学(金融经济学),工商管理类,1,0,0,0,0,0,0,0,1
音乐表演(民族器乐),音乐表演(民族器乐),1,0,0,0,0,0,0,0,1
工业设计(按工业设计类培养,还含包装工程),工业设计(按工业设计类培养,还含包装工程),1,1,0,0,0,0,0,0,0
动物科学(含动物科学、动物医学、水产养殖学专业),动物科学(含动物科学、动物医学、水产养殖学专业),1,1,1,1,0,0,0,0,0
市场营销(德泰学苑试点班),市场营销(德泰学苑试点班),1,0,0,0,0,0,0,0,1
水务工程,水务工程,1,1,1,0,0,0,0,0,0
数学与应用数学(金融),数学类,1,1,0,0,0,0,0,0,0
艺术设计(室内软装饰设计),艺术设计(室内软装饰设计),1,0,0,0,0,0,0,0,1
汽车智能技术,汽车智能技术,7,1,0,0,0,0,0,0,6
会计(金融企业财务),会计(金融企业财务),1,0,0,0,0,0,0,0,1
传播学,新闻传播学类,36,0,0,0,1,0,1,0,35
数学与应用数学,数学与应用数学,204,204,3,0,0,0,0,0,0
融媒体传播),文科试验班类(人文与社会),1,0,0,0,0,0,0,0,1
广播电视技术,广播电视技术,1,0,0,0,0,0,0,0,1
电子科学与技术(印制电路技术与工艺方向),电子科学与技术(印制电路技术与工艺方向),1,1,0,0,0,0,0,0,0
道路桥梁与渡河工程,道路桥梁与渡河工程,37,37,3,0,0,0,0,0,0
生物技术(国家生命科学与技术基地班),生物科学类,1,0,1,1,0,0,0,0,0
儿科学,儿科学,12,3,12,10,0,0,0,0,0
计算机科学与技术(金融信息服务方向),计算机类,1,1,0,0,0,0,0,1,0
市场营销(国际营销),市场营销(国际营销),1,0,0,0,0,0,0,0,1
物流管理(国际物流),物流管理(国际物流),1,0,0,0,0,0,0,0,1
商学院,商学院,1,0,0,0,0,0,0,0,1
电信服务与管理,电信服务与管理,3,0,0,0,0,0,0,0,3
影视美术,影视美术,2,0,0,0,0,0,0,0,2
文化市场经营管理(婚庆节庆方向),文化市场经营管理(婚庆节庆方向),1,0,0,0,0,0,0,0,1
文物修复与保护,文物修复与保护,6,0,0,0,1,1,0,0,5
工商管理(中美合作),工商管理类(中外合作办学),1,0,0,0,0,0,0,0,1
国际经济与贸易(全英语),国际经济与贸易(全英语),1,0,0,0,0,0,0,0,1
中药制药,中药制药,10,6,10,6,0,0,0,0,0
产品设计,产品设计,178,1,0,0,3,2,2,0,175
粮食工程技术,粮食工程技术,1,0,0,0,0,0,0,0,1
生物科学,生物科学,103,83,99,87,0,0,0,0,0
金属与非金属矿开采技术,金属与非金属矿开采技术,2,0,0,0,0,0,0,0,2
生物科学(海洋生物),生物科学类,1,1,1,1,0,0,0,0,0
船舶检验,船舶检验,2,0,0,0,0,0,0,0,2
光电信息科学与工程(光电器件),光电信息科学与工程(光电器件),1,1,0,0,0,0,0,0,0
机电技术教育,机电技术教育,1,1,0,0,0,0,0,0,0
国际政治(含国际事务与全球治理),文科试验班类(人文与社会),1,0,0,0,0,0,0,0,1
自动化(航空电子与控制),自动化类(中外合作办学),1,1,0,0,0,0,0,0,0
飞行器维修技术,飞行器维修技术,4,0,0,0,0,0,0,0,4
体育教育(非公费师范),体育教育(非公费师范),1,1,0,1,1,0,0,0,0
编辑出版学(新媒体方向),编辑出版学(新媒体方向),1,0,0,0,0,0,0,0,1
航天装备工程,航天装备工程,1,1,0,0,0,0,0,0,0
电子信息工程(桂台合作办学),电子信息工程(桂台合作办学),1,1,0,0,0,0,0,0,0
临床医学(协和),临床医学类,1,1,1,0,0,0,0,0,0
机械类,理科试验班,3,3,0,0,0,0,0,0,0
临床医学(备注：在医学院就读),临床医学(备注：在医学院就读),1,0,1,1,0,0,0,0,0
法学(劳动法与社会保障法),法学(劳动法与社会保障法),1,0,0,0,0,0,0,0,1
雕刻艺术设计(玉雕、红木雕刻),雕刻艺术设计(玉雕、红木雕刻),1,0,0,0,0,0,0,0,1
口腔医学(五年),口腔医学(五年),3,3,3,2,0,0,0,0,0
茶树栽培与茶叶加工,茶树栽培与茶叶加工,3,0,0,0,0,0,0,0,3
农业电气化,农业电气化,4,4,1,1,0,0,0,0,0
临床医学(儿科医学，学制为5+3医),临床医学(儿科医学，学制为5+3医),1,1,1,0,0,0,0,0,0
民航运输(机场指挥),民航运输(机场指挥),1,0,0,0,0,0,0,0,1
服装与服饰设计(时装设计与工艺),服装与服饰设计(时装设计与工艺),1,0,0,0,0,0,0,0,1
家具艺术设计,家具艺术设计,1,0,0,0,0,0,0,0,1
土地资源管理,土地资源管理,37,4,4,2,0,4,0,0,29
服装与服饰设计,服装与服饰设计,145,0,0,1,4,3,0,2,141
钻探技术,钻探技术,2,0,0,0,0,0,0,0,2
戏剧影视导演,戏剧影视导演,16,0,0,0,0,0,0,0,16
中澳合作),语言类(中外合作办学),1,0,0,0,0,0,0,0,1
家具设计与制造,家具设计与制造,4,0,0,0,1,0,1,1,3
矿物加工技术,矿物加工技术,1,0,0,0,0,0,0,0,1
煤田地质与勘查技术,煤田地质与勘查技术,1,0,0,0,0,0,0,0,1
应用英语(少儿英语),应用英语(少儿英语),1,0,0,0,0,0,0,0,1
高速铁道工程技术,高速铁道工程技术,6,0,0,0,0,0,0,0,6
舞台艺术设计与制作,舞台艺术设计与制作,3,0,0,0,0,0,0,0,3
金融学(2+2中外联合培养双学位),金融学(2+2中外联合培养双学位),1,0,0,0,0,0,0,0,1
翻译(英语),翻译(英语),2,0,0,0,0,0,0,0,2
电子信息工程(水声),电子信息工程(水声),1,1,0,0,0,0,0,0,0
机械装备制造技术(3D打印方向),机械装备制造技术(3D打印方向),1,0,0,0,0,0,0,0,1
医学生物技术,医学生物技术,3,1,3,3,0,0,0,0,0
汉语言文学(法商文秘),新闻传播学类,1,0,0,0,0,0,0,0,1
产品设计(产品、家居用品),产品设计(产品、家居用品),1,0,0,0,0,0,0,0,1
服装与服饰设计(时装设计与营销),服装与服饰设计(时装设计与营销),1,0,0,0,0,0,0,0,1
广告学,广告学,146,2,0,1,11,4,9,0,135
移动商务,移动商务,10,0,0,0,2,2,0,2,8
环保设备工程,环保设备工程,5,4,5,3,0,0,0,1,0
表演(武术表演),表演(武术表演),1,0,0,0,0,0,0,0,1
矿物资源工程(卓越计划),工科试验班类(卓越计划),1,1,0,0,0,0,0,0,0
音乐表演(管弦演奏),音乐表演(管弦演奏),1,0,0,0,0,0,0,0,1
工程造价(建筑安装方向),工程造价(建筑安装方向),1,0,0,0,0,0,0,0,1
英语(金融与商务方向),英语(金融与商务方向),1,0,0,0,1,1,1,0,0
通用航空航务技术,通用航空航务技术,3,0,0,0,0,0,0,0,3
机电设备维修与管理,机电设备维修与管理,17,4,1,0,0,0,0,1,13
金融学类(中外合作办学),人文科学试验班,2,1,1,1,1,1,1,0,0
应用英语(涉外商务,语言类(中外合作办学),1,0,0,0,0,0,0,0,1
会计学(注册会计师CPA方向、3+1+1本硕联合培养项目),会计学(注册会计师CPA方向、3+1+1本硕联合培养项目),1,0,0,0,0,0,0,0,1
地理教育,地理教育,1,0,0,0,0,0,0,0,1
宝玉石鉴定与加工(珠宝首饰设计、宝玉石鉴定),宝玉石鉴定与加工(珠宝首饰设计、宝玉石鉴定),1,0,0,0,0,0,0,0,1
广播电视学(仅招收高水平运动队),广播电视学(仅招收高水平运动队),1,0,0,0,0,0,1,0,0
生态学(类),生态学(类),1,1,1,0,0,0,0,0,0
农学,农学,21,18,21,20,0,0,0,0,0
计算机科学与技术(语言智能与技术),计算机类,1,1,0,0,0,0,0,0,0
城市地下空间工程,城市地下空间工程,34,34,1,0,0,0,0,0,0
国际经济与贸易(全英文教学),经济学类(中美121双学位班，可接轨CFA金融分析师),1,0,0,0,0,0,0,0,1
网络与新媒体,网络与新媒体,65,3,0,0,4,2,6,2,58
工商管理(商务实验班),社会科学试验班,1,0,0,0,0,0,0,0,1
交通运输(智能运输工程),交通运输类,1,1,1,0,0,0,0,0,0
国际经济与贸易(全英文班),国际经济与贸易(全英文班),1,0,0,0,0,0,0,0,1
国际贸易实务(健康产品),国际贸易实务(健康产品),1,0,1,1,0,0,0,1,0
财务管理(双语实验班),财务管理(双语实验班),1,0,0,0,0,0,0,0,1
视觉传达设计(3+1+1本硕联合培养方向),视觉传达设计(3+1+1本硕联合培养方向),1,0,0,0,0,0,0,0,1
会展策划与管理,会展策划与管理,28,1,1,0,1,2,1,3,25
军事交通工程,军事交通工程,1,1,1,0,0,0,0,1,0
会计(注册会计师),会计(注册会计师),2,0,0,0,0,0,0,0,2
物流信息技术,物流信息技术,1,0,0,0,0,0,0,1,0
服装设计与工艺(时装管理),服装设计与工艺(时装管理),1,0,0,0,0,0,0,0,1
应用电子技术(铁道电子技术),应用电子技术(铁道电子技术),1,0,0,0,0,0,0,0,1
动漫设计,动漫设计,14,0,0,0,1,1,0,1,13
机械工程,机械工程,101,101,1,0,0,0,0,0,0
物流管理(国际物流管理方向),物流管理(国际物流管理方向),1,0,0,0,0,0,0,0,1
通信工程,通信工程,299,299,1,0,0,0,0,2,0
美术学(美术教育),美术学(美术教育),3,0,0,0,0,0,0,0,3
艺术设计(室内设计方向),艺术设计(室内设计方向),1,0,0,0,0,0,0,0,1
计算机科学与技术(动漫方向),计算机科学与技术(动漫方向),1,1,0,0,0,0,0,0,0
数字媒体技术(嵌入式培养),数字媒体技术(嵌入式培养),1,1,0,0,0,0,0,0,0
绘画(版画),美术学类,4,0,0,0,0,0,0,0,4
测控技术与仪器(汽车电子方向),测控技术与仪器(汽车电子方向),1,1,0,0,0,0,0,0,0
绘画(综合绘画),美术学类,1,0,0,0,0,0,0,0,1
城市水处理),土木类,1,1,0,0,0,0,0,0,0
应用西班牙语(进出口贸易实务),应用西班牙语(进出口贸易实务),1,0,0,0,0,0,0,0,1
舞蹈表演(中国古典舞),舞蹈表演(中国古典舞),1,0,0,0,0,0,0,0,1
会计学(经管类实验班),会计学(经管类实验班),1,0,0,0,0,0,0,0,1
市场营销(国际营销方向),工商管理类,1,0,0,0,0,0,0,0,1
工业工程技术,工业工程技术,2,0,0,0,0,0,0,1,1
空间科学与技术(遥感与地理信息系统),地球物理学类,1,1,0,0,0,0,0,0,0
日语(财经日语),日语(财经日语),1,0,0,0,0,0,0,0,1
侦查学(经济侦查),侦查学(经济侦查),1,0,0,0,0,0,1,0,0
计算机应用技术(数字媒体制作方向),计算机类,1,1,0,0,1,0,0,1,0
药品生物技术,药品生物技术,9,1,1,1,0,0,0,0,8
油画方向),美术学类,1,0,0,0,0,0,0,0,1
大气科学,大气科学,12,12,1,0,0,0,0,0,0
波斯语,波斯语,2,0,0,0,0,0,0,0,2
软件工程(NIIT),软件工程(NIIT),1,1,0,0,0,0,0,0,0
城乡规划,城乡规划,113,98,16,18,60,80,0,4,3
法学(司法行政方向),法学(司法行政方向),1,0,0,0,1,0,1,0,0
通用航空器维修,通用航空器维修,5,2,0,0,0,1,0,1,3
茶学,茶学,11,10,11,10,0,0,0,0,0
护理(国际护理方向),护理(国际护理方向),1,0,0,0,0,0,0,0,1
林学(城市林业方向),林学类,1,0,1,1,0,0,0,0,0
食品药品监督管理,食品药品监督管理,3,1,1,1,0,0,0,0,2
报关与国际货运,报关与国际货运,44,0,0,0,2,2,1,1,42
英语(涉外法商),英语(涉外法商),1,0,0,0,0,0,0,0,1
物理学(师范类),物理学类,1,1,0,0,0,0,0,0,0
导游(非物质文化遗产方向),导游(非物质文化遗产方向),1,0,0,0,0,0,0,0,1
信息资源管理,图书情报与档案管理类,7,1,1,0,1,0,0,0,6
精密医疗器械技术,精密医疗器械技术,1,1,1,0,0,0,0,1,0
计算机网络技术(云应用开发与管理方向),计算机网络技术(云应用开发与管理方向),1,0,0,0,0,0,0,0,1
数学类,理科试验班,9,9,0,0,0,0,0,0,0
物联网工程(常州校区),物联网工程(常州校区),1,1,0,0,0,0,0,0,0
软件工程(厦门大学马来西亚分校招生专业),软件工程(厦门大学马来西亚分校招生专业),1,1,0,0,0,0,0,0,0
舞蹈表演(中国舞),舞蹈表演(中国舞),1,0,0,0,0,0,0,0,1
出版与电脑编辑技术,出版与电脑编辑技术,2,0,0,0,0,0,0,0,2
美容美体艺术,美容美体艺术,4,0,0,0,0,0,0,0,4
音乐表演(小提琴),音乐表演(小提琴),1,0,0,0,0,0,0,0,1
环境艺术设计(装饰艺术设计方向),环境艺术设计(装饰艺术设计方向),2,0,0,0,0,0,0,0,2
财政学(绩效评价方向),财政学类,1,0,0,0,0,0,0,0,1
风景园林(景观建筑设计方向),风景园林(景观建筑设计方向),1,1,0,0,1,1,0,0,0
电子商务(少数民族班),电子商务(少数民族班),1,0,0,0,0,0,0,0,1
体育运营与管理,体育运营与管理,11,1,0,0,0,0,1,1,10
电影学,电影学,3,0,0,0,0,0,0,0,3
医疗设备应用技术,医疗设备应用技术,10,4,4,4,0,0,0,0,6
法学(涉外卓越商事法律人才实验班),法学类(卓越法律人才实验班),1,0,0,0,0,0,0,0,1
信息管理与信息系统(监所信息方向),信息管理与信息系统(监所信息方向),1,1,0,0,0,0,0,0,0
食品加工技术(焙烤食品加工技术),食品加工技术(焙烤食品加工技术),1,0,1,0,1,0,0,0,0
英语,英语,437,1,1,4,16,14,13,0,420
水务管理,水务管理,1,0,0,0,0,0,0,0,1
生物科学(公费师范生),生物科学(公费师范生),1,1,1,1,0,0,0,0,0
勘查技术与工程,勘查技术与工程,15,15,9,0,0,0,0,1,0
戏剧影视美术设计(服装与化妆设计),戏剧影视美术设计(服装与化妆设计),1,0,0,0,0,0,0,0,1
文秘(涉外文秘),文秘(涉外文秘),1,0,0,0,0,0,0,0,1
矿山机电技术,矿山机电技术,1,0,0,0,0,0,0,0,1
音乐表演(西洋乐只招小提琴大提琴),音乐表演(西洋乐只招小提琴大提琴),1,0,0,0,0,0,0,0,1
音乐表演(钢琴演奏),音乐表演(钢琴演奏),2,0,0,0,0,0,0,0,2
法学(刑事法),法学(刑事法),1,0,0,0,0,0,0,0,1
美术学(师范),美术学(师范),14,0,0,0,0,0,0,0,14
经济统计学(金融统计方向),经济统计学(金融统计方向),1,0,0,0,0,0,0,0,1
音乐学(音乐教育—器乐),音乐学(音乐教育—器乐),1,0,0,0,0,0,0,0,1
戏剧影视美术设计(舞台设计),戏剧影视美术设计(舞台设计),1,0,0,0,0,0,0,0,1
信息资源管理(以学校公布分流专业为准),信息资源管理(以学校公布分流专业为准),1,0,0,0,0,0,0,0,1
汽车运用与维修技术(诺浩特色班),汽车运用与维修技术(诺浩特色班),1,0,0,0,0,0,0,0,1
针织技术与针织服装,针织技术与针织服装,2,0,0,0,0,0,0,0,2
服装设计与工艺(时装零售与管理),服装设计与工艺(时装零售与管理),1,0,0,0,0,0,0,0,1
治安学(公安法制方向),治安学(公安法制方向),1,0,0,0,0,0,1,0,0
公共事业管理(医药贸易与管理),公共事业管理(医药贸易与管理),1,0,0,0,0,0,0,0,1
金融工程(3+1+1本硕联合培养方向),金融工程(3+1+1本硕联合培养方向),1,0,0,0,0,0,0,0,1
资源环境科学,自然保护与环境生态类,7,7,6,3,0,0,0,0,0
教育学(体育方向),教育学(体育方向),1,0,0,0,0,0,0,0,1
临床医学(卓越创新班),临床医学(卓越创新班),1,0,1,1,0,0,0,0,0
伦理学,人文科学试验班(以学校公布分流专业为准),1,0,0,0,0,0,0,0,1
药学(基础药学理科基地),药学(基础药学理科基地),1,1,1,0,0,0,0,0,0
软件工程(卓越班),软件工程(卓越班),1,1,0,0,0,0,0,0,0
自动化(机器人技术教育方向),自动化(机器人技术教育方向),1,1,0,0,0,0,0,0,0
录音艺术(音响艺术设计),录音艺术(音响艺术设计),1,0,0,0,0,0,0,0,1
公共事业管理(卫生事业管理),公共事业管理(卫生事业管理),2,0,0,0,0,0,0,0,2
