专业, 专业大类, 有该专业的学校数量, 物理, 化学, 生物, 历史, 地理, 政治, 技术, 没有学科要求的学校数量
法律事务(中小企业法务助理方向),法律事务(中小企业法务助理方向),1,0,0,0,0,0,0,0,1
交通运输(民航机务工程),交通运输(民航机务工程),1,1,0,0,0,0,0,0,0
计算机网络技术(中美合作),计算机类(中外合作办学),1,0,0,0,0,0,0,0,1
会计学,工商管理类,382,32,13,9,13,4,8,0,348
农业资源与环境(国家卓越农林人才计划),环境科学与工程类,1,1,1,1,0,0,0,0,0
地理科学(基地班),地理科学类,1,1,1,0,0,0,0,0,0
经济统计学(金融统计与风险管理),统计学类,1,1,0,0,0,0,0,0,0
汽车运用安全管理,汽车运用安全管理,1,0,0,0,0,0,0,0,1
汉语言文学(国学教育与传播),汉语言文学(国学教育与传播),1,0,0,0,0,0,0,0,1
岩土工程技术,岩土工程技术,1,0,0,0,0,0,0,0,1
音乐表演(器乐),音乐表演(器乐),2,0,0,0,0,0,0,0,2
音乐表演(管子),音乐表演(管子),1,0,0,0,0,0,0,0,1
工艺美术(玻璃艺术),设计学类,1,0,0,0,0,0,0,0,1
社会工作(司法社会工作方向),社会工作(司法社会工作方向),1,0,0,0,0,0,0,0,1
电子科学与技术(常州校区),电子科学与技术(常州校区),1,1,0,0,0,0,0,0,0
广播影视节目制作(中法合作),广播影视类(中外合作办学),1,0,0,0,0,0,0,0,1
公共管理类,工科试验班,2,1,0,0,0,0,0,0,1
播音与主持艺术(中英校际交流2+2项目),播音与主持艺术(中英校际交流2+2项目),1,0,0,0,0,0,0,0,1
护理学(中外合作办学),护理学(中外合作办学),1,0,0,0,0,0,0,0,1
汉语言文学(师范类),中国语言文学类,3,0,0,0,1,1,1,0,2
英语(商务翻译),英语(商务翻译),1,0,0,0,0,0,0,0,1
会计学(涉外会计方向),会计学(涉外会计方向),1,0,0,0,0,0,0,0,1
精算学,精算学,5,3,2,2,0,0,0,0,2
俄语,俄语,58,3,0,0,3,2,1,0,55
应用日语(双语班),应用日语(双语班),1,0,0,0,0,0,0,0,1
数学与应用数学(师范类),数学类,3,3,0,0,0,0,0,0,0
旅游管理(酒店与旅游运营管理方向),旅游管理(酒店与旅游运营管理方向),1,0,0,0,0,0,0,0,1
水利水电建筑工程,水利水电建筑工程,9,3,1,0,0,1,0,2,6
新能源科学与工程,新能源科学与工程,37,36,18,0,0,0,0,1,0
电磁场与无线技术,电子信息类,9,9,0,0,0,0,0,0,0
临床医学(六年制中德实验班),临床医学(六年制中德实验班),1,0,1,1,0,0,0,0,0
地球物理学类,理科试验班类,2,2,0,0,0,0,0,0,0
服装陈列与展示设计,服装陈列与展示设计,1,0,0,0,0,0,0,0,1
经济学(国家经济学基础人才培养基地班),经济学(国家经济学基础人才培养基地班),1,0,0,0,0,0,0,0,1
数控技术(AHK项目班),数控技术(AHK项目班),1,0,0,0,0,0,0,0,1
航空材料精密成型技术,航空材料精密成型技术,1,0,0,0,0,0,0,0,1
铁道车辆,铁道车辆,10,3,0,0,0,0,0,0,7
地质学(基地班),地质学(基地班),1,1,1,0,0,0,0,0,0
军事海洋学,军事海洋学,2,2,0,0,0,0,0,0,0
音乐表演(扬琴),音乐表演(扬琴),1,0,0,0,0,0,0,0,1
传播学(2+2联合班),传播学(2+2联合班),1,0,0,0,0,0,0,0,1
英语(英法双语方向),英语(英法双语方向),1,0,0,0,0,0,0,0,1
生物医学工程类,理科试验班(化生类),3,3,1,0,0,0,0,0,0
教育学(师范类),教育学类,1,0,0,0,0,0,0,0,1
经济犯罪侦查,经济犯罪侦查,4,0,0,0,0,0,4,0,0
直升机驾驶技术,直升机驾驶技术,3,1,1,0,0,0,0,0,2
国际商务(跨境贸易),国际商务(跨境贸易),1,0,0,0,0,0,0,0,1
中草药栽培技术,中草药栽培技术,1,0,0,0,0,0,0,0,1
建筑智能化工程技术,建筑智能化工程技术,26,8,3,1,1,2,0,4,18
戏剧影视美术设计(化装造型设计),戏剧影视美术设计(化装造型设计),1,0,0,0,0,0,0,0,1
音乐表演(唢呐),音乐表演(唢呐),1,0,0,0,0,0,0,0,1
水利工程(城市水利工程),水利工程与管理类,1,1,0,0,0,0,0,0,0
临床医学(校本部班),临床医学(校本部班),1,0,1,1,0,0,0,0,0
海洋渔业科学与技术,海洋渔业科学与技术,6,4,6,6,0,0,0,0,0
表演(影视剧表演),表演(影视剧表演),1,0,0,0,0,0,0,0,1
应用外语(塞尔维亚语),应用外语(塞尔维亚语),1,0,0,0,0,0,0,0,1
运动人体科学(师范),运动人体科学(师范),1,0,0,0,0,0,0,0,1
信息对抗技术,信息对抗技术,13,13,0,0,0,0,0,0,0
工商企业管理(中法合作),工商管理类(中外合作办学),1,0,0,0,0,0,0,0,1
钢琴调律,钢琴调律,4,0,0,0,0,0,0,0,4
建筑智能化工程技术(楼宇智能化方向),建筑智能化工程技术(楼宇智能化方向),1,0,0,0,0,0,0,0,1
卫生信息管理(病案管理与医疗文秘方向),卫生信息管理(病案管理与医疗文秘方向),1,0,0,0,0,0,0,0,1
产品艺术设计(艺术类),产品艺术设计(艺术类),1,0,0,0,0,0,0,0,1
投资学(3+1+1本硕联合培养方向),投资学(3+1+1本硕联合培养方向),1,0,0,0,0,0,0,0,1
给排水科学与工程(海绵城市和综合管廊,土木类,1,1,0,0,0,0,0,0,0
临床医学(8年制本博连读),临床医学(8年制本博连读),1,1,1,0,0,0,0,0,0
国际标准舞,国际标准舞,2,0,0,0,0,0,0,0,2
软件工程(造价方向),软件工程(造价方向),1,1,0,0,0,0,0,0,0
舞蹈表演(健美操),舞蹈表演(健美操),1,0,0,0,0,0,0,0,1
税务,税务,4,0,0,0,0,0,0,0,4
移动应用开发,移动应用开发,28,5,1,0,1,0,1,3,22
计算机类,理科试验班,4,4,0,0,0,0,0,0,0
应用英语(国际导游),应用英语(国际导游),1,0,0,0,0,0,0,0,1
音乐表演(爵士长号),音乐表演(爵士长号),1,0,0,0,0,0,0,0,1
材料类,理科试验班类,1,1,0,0,0,0,0,0,0
食品加工技术(烘焙与饮品加工),食品加工技术(烘焙与饮品加工),1,0,0,0,0,0,0,0,1
公共文化服务与管理,公共文化服务与管理,4,0,0,0,0,0,0,0,4
地理科学,地理科学,33,26,26,0,0,29,0,1,0
交通管理工程,交通管理工程,2,2,2,1,0,0,0,1,0
信息安全(保密技术),计算机类,1,1,0,0,0,0,0,0,0
光伏材料制备技术,光伏材料制备技术,4,0,0,0,0,0,0,0,4
应用统计学,应用统计学,65,62,41,45,0,0,0,5,0
会计学(国际会计ACCA),会计学(国际会计ACCA),1,0,0,0,0,0,0,0,1
工商管理(体育特长班),工商管理(体育特长班),1,0,0,0,0,0,0,0,1
汽车检测与维修技术,汽车检测与维修技术,98,16,4,0,2,3,1,11,81
音像技术,音像技术,2,1,1,0,0,0,0,1,1
建筑学(建筑艺术、城市设计),建筑学(建筑艺术、城市设计),1,1,0,0,1,0,0,1,0
水产养殖学(国家卓越农林人才计划),水产类,1,1,1,1,0,0,0,0,0
阿拉伯语,阿拉伯语,18,0,0,0,0,0,0,0,18
机电一体化技术(中德合作),自动化类(中外合作办学),1,0,0,0,0,0,0,0,1
音乐表演(民乐—弹拨),音乐表演(民乐—弹拨),1,0,0,0,0,0,0,0,1
汽车电子技术(智能技术方向),汽车电子技术(智能技术方向),1,0,0,0,0,0,0,0,1
环境设计(环境艺术设计),环境设计(环境艺术设计),2,0,0,0,0,0,0,0,2
会计(ERP应用方向),会计(ERP应用方向),1,0,0,0,0,0,0,0,1
民航运输(民航电商),民航运输(民航电商),1,0,0,0,0,0,0,0,1
导弹工程,导弹工程,7,6,0,0,0,0,0,0,1
资产评估与管理(房地产估价与营销),资产评估与管理(房地产估价与营销),1,0,0,0,0,0,0,0,1
音乐表演(键盘演奏),音乐表演(键盘演奏),1,0,0,0,0,0,0,0,1
环境工程(3+2中澳班),环境工程(3+2中澳班),1,1,1,0,0,0,0,0,0
经济统计学(金融统计与精算),经济统计学(金融统计与精算),1,1,0,1,0,1,0,0,0
工程管理(房建工程项目管理),工程管理(房建工程项目管理),1,1,0,0,0,0,0,0,0
会计(国际会计),会计(国际会计),1,0,0,0,0,0,0,0,1
特殊教育(手语翻译方向),特殊教育(手语翻译方向),1,0,0,0,0,0,0,0,1
人文社会科学院,人文社会科学院,1,0,0,0,0,0,0,0,1
化工生物技术,化工生物技术,2,0,0,0,0,0,0,0,2
光电信息科学与工程(光电卓越计划实验班),光电信息科学与工程(光电卓越计划实验班),1,1,0,0,0,0,0,0,0
工程机械运用技术(国际班),工程机械运用技术(国际班),1,0,0,0,0,0,0,0,1
材料成型与控制技术,材料成型与控制技术,3,1,1,0,0,0,0,1,2
铁道工程,铁道工程,5,5,1,0,0,0,0,1,0
国际经济与贸易(国际组织人才基地班),国际经济与贸易(国际组织人才基地班),1,0,0,0,0,0,0,0,1
物流工程(物流信息化),物流工程(物流信息化),1,0,0,0,0,0,0,0,1
软件技术,软件技术,112,17,5,1,1,2,0,8,94
广告设计与制作(电子商务艺术设计),广告设计与制作(电子商务艺术设计),1,0,0,0,0,0,0,0,1
计算机应用技术(室内设计),计算机应用技术(室内设计),1,0,0,0,0,0,0,0,1
宠物临床诊疗技术,宠物临床诊疗技术,3,0,0,0,0,0,0,0,3
国际经济与贸易(双语实验班),国际经济与贸易(双语实验班),1,0,0,0,0,0,0,0,1
工程力学,工程力学,47,47,1,0,0,0,0,0,0
表演(戏剧影视),表演(戏剧影视),2,0,0,0,0,0,0,0,2
数字媒体艺术设计,数字媒体艺术设计,65,1,0,0,4,2,1,4,61
英语(中英合作商务方向),外国语言文学类(中外合作办学),1,0,0,0,0,0,0,0,1
纺织品设计,纺织品设计,1,0,0,0,0,0,0,0,1
工商企业管理(汽车企业管理方向),工商企业管理(汽车企业管理方向),1,0,0,0,0,0,0,0,1
财务管理,财务管理,403,15,6,7,12,5,6,4,380
音乐制作,音乐制作,4,0,0,0,0,0,0,0,4
作曲与作曲技术理论(音乐设计与制作),作曲与作曲技术理论(音乐设计与制作),1,0,0,0,0,0,0,0,1
海警执法,海警执法,1,0,0,0,0,0,1,0,0
建筑环境与能源应用工程,建筑环境与能源应用工程,100,100,4,0,0,0,0,0,0
地理科学(公费师范生),地理科学(公费师范生),1,1,1,0,0,1,0,0,0
教育技术学,教育技术学,30,10,4,3,0,0,0,2,20
英语(医学),英语(医学),1,0,0,0,0,0,0,0,1
中国画(中国画一),中国画(中国画一),1,0,0,0,0,0,0,0,1
戏剧影视文学(国际文化交流),戏剧影视文学(国际文化交流),1,0,0,0,0,0,0,0,1
民航运输(通航综合航务),民航运输(通航综合航务),1,0,0,0,0,0,0,0,1
豪萨语,豪萨语,1,0,0,0,0,0,0,0,1
舞蹈教育,舞蹈教育,3,0,0,0,0,0,0,0,3
边防管理,边防管理,2,0,0,0,0,0,2,0,0
烹饪与营养教育,烹饪与营养教育,1,1,1,1,0,0,0,0,0
电子信息工程,电子信息工程,351,351,3,0,0,0,0,3,0
法学(刑事法方向),法学(刑事法方向),1,0,0,0,0,0,0,0,1
环境设计(景观建筑方向),设计学类,1,0,0,0,0,0,0,0,1
绘画(含中国画、油画、漆画、雕塑方向),绘画(含中国画、油画、漆画、雕塑方向),1,0,0,0,0,0,0,0,1
土木工程(道路与桥梁工程),土木工程(道路与桥梁工程),1,1,0,0,0,0,0,0,0
英语(经贸方向),英语(经贸方向),1,0,0,0,0,0,0,0,1
电气类(中外合作办学),工科试验班(中外合作培养类),1,1,0,0,0,0,0,0,0
电子商务(支付清算方向),电子商务(支付清算方向),1,0,0,0,0,0,0,0,1
能源与动力工程(车辆),机械类(车辆),1,1,0,0,0,0,0,0,0
生物医学工程(本硕连读培养),生物医学工程(本硕连读培养),1,1,1,1,0,0,0,0,0
轮机工程技术,轮机工程技术,10,2,1,0,0,1,0,2,8
空天防御指挥与控制工程,空天防御指挥与控制工程,1,1,0,0,0,0,0,0,0
金融学,金融学,274,36,13,8,11,7,6,0,235
美术学(商业插画),美术学(商业插画),1,0,0,0,0,0,0,0,1
水产养殖学(卓越班),水产养殖学(卓越班),1,1,1,1,0,0,0,0,0
社区矫正,社区矫正,2,0,0,0,1,0,1,1,1
软件技术(欧美软件外包),软件技术(欧美软件外包),1,0,0,0,0,0,0,0,1
食品营养与检测,食品营养与检测,23,4,7,7,0,0,0,2,16
商务英语(双语实验班),商务英语(双语实验班),1,0,0,0,0,0,0,0,1
摄影摄像技术,摄影摄像技术,10,0,0,0,1,0,1,1,9
环境艺术设计(室外环境设计方向),环境艺术设计(室外环境设计方向),1,0,0,0,0,0,0,0,1
动物医学及生命科学院（兽医学）,动物医学及生命科学院（兽医学）,1,0,1,1,0,0,0,0,0
舞蹈表演(音乐剧),舞蹈表演(音乐剧),1,0,0,0,0,0,0,0,1
草业科学,草业科学,7,5,7,7,0,0,0,0,0
经济学(数理经济实验班),经济学(数理经济实验班),1,0,0,0,1,1,1,0,0
旅游管理(为民航业培养),旅游管理(为民航业培养),1,0,0,0,0,0,0,0,1
旅游管理(乘务管理),旅游管理(乘务管理),1,0,0,0,0,0,0,0,1
计算机应用技术(Android应用与开发技术),计算机应用技术(Android应用与开发技术),1,0,0,0,0,0,0,0,1
植物保护(农药与农产品安全方向),植物保护(农药与农产品安全方向),1,1,1,1,0,0,0,0,0
